MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
72 	 7 	 1601.2066 	 585.1591
115 	 1 	 8357.5175 	 1573.0693
125 	 11 	 6717.2571 	 1864.4709
188 	 24 	 152778.544 	 23925.1053
210 	 3 	 2968.0903 	 770.7357
213 	 7 	 9411.9707 	 1822.0151
1425 	 12 	 95135.1059 	 15113.2168
11240 	 2 	 1718.3681 	 521.0729
11468 	 1 	 273.3767 	 101.065
12958 	 10 	 103258.301 	 15812.1153
14664 	 2 	 3163.3594 	 874.4679
14674 	 3 	 742.0226 	 239.7496
16624 	 1 	 4491.1893 	 796.12
17399 	 5 	 399911.118 	 37789.0072
18097 	 1 	 2108.9063 	 573.5719
18297 	 1 	 39.0538 	 17.4092
18847 	 1 	 312.4306 	 112.2997
19174 	 1 	 6170.5036 	 1085.0465
19318 	 12 	 7927.9255 	 2191.7718
19410 	 51 	 83926.6595 	 19998.4166
20318 	 1 	 3436.7362 	 604.3316
2011 	 6 	 137469.447 	 15974.1107
2827 	 1 	 39.0538 	 17.4092
27629 	 1 	 4295.9202 	 1069.1372
29630 	 3 	 195.2691 	 84.0273
29703 	 1 	 234.3229 	 86.373
30525 	 1 	 273.3767 	 94.5493
30628 	 2 	 9841.5627 	 1985.0556
3351 	 1 	 2304.1754 	 511.8313
3789 	 2 	 1054.4531 	 350.9831
31684 	 1 	 78.1076 	 33.1259
32066 	 1 	 1444.9913 	 331.2232
32381 	 1 	 3632.0053 	 742.071
32782 	 3 	 312.4306 	 119.3869
34115 	 1 	 156.2153 	 59.539
34389 	 1 	 195.2691 	 73.8174
35177 	 4 	 13903.16 	 2863.0309
35755 	 1 	 468.6458 	 166.8132
36737 	 1 	 78.1076 	 33.1259
37903 	 1 	 1796.4757 	 369.5621
38737 	 5 	 2538.4983 	 804.1503
39285 	 18 	 30735.3565 	 6133.0706
39516 	 2 	 78.1076 	 34.8184
40008 	 1 	 2226.0677 	 530.1195
41447 	 21 	 65571.3641 	 12888.3571
41498 	 207 	 154301.643 	 43251.3003
41650 	 2 	 1952.691 	 524.9362
42041 	 1 	 117.1615 	 49.9664
42897 	 4 	 8669.9481 	 1654.5885
42992 	 5 	 31008.7332 	 5584.6189
43652 	 2 	 390.5382 	 151.5857
44756 	 1 	 16129.2277 	 2865.6727
45637 	 3 	 195.2691 	 83.6611
46240 	 1 	 1718.3681 	 370.0022
46268 	 1 	 10310.2085 	 1629.7593
47193 	 3 	 7498.3335 	 2355.6721
47998 	 56 	 38507.0667 	 12237.0279
48181 	 2 	 2968.0903 	 770.0992
48815 	 1 	 78.1076 	 31.6876
48968 	 1 	 117.1615 	 46.0781
48990 	 5 	 5779.9654 	 1432.5511
50927 	 2 	 2382.283 	 606.0438
6013 	 1 	 10583.5853 	 1609.8544
53182 	 3 	 5584.6963 	 1292.5823
53391 	 12 	 9138.5939 	 2541.3796
54137 	 3 	 3163.3594 	 787.207
54155 	 1 	 79943.1699 	 8404.9629
54491 	 7 	 55768.8552 	 8393.8198
55533 	 1 	 39.0538 	 17.4092
55826 	 2 	 234.3229 	 97.6853
57467 	 4 	 3397.6824 	 795.0831
57912 	 5 	 5116.0504 	 1577.7042
59154 	 5 	 4178.7588 	 1255.6075
60448 	 17 	 10544.5314 	 3120.2167
60479 	 2 	 273.3767 	 112.2752
60491 	 29 	 68851.8849 	 13116.6755
6750 	 2 	 5740.9116 	 1324.6139
6853 	 5 	 37804.0979 	 6137.5256
63435 	 1 	 39.0538 	 17.4092
65185 	 2 	 507.6997 	 194.3881
65390 	 1 	 39.0538 	 17.4092
66535 	 1 	 2499.4445 	 548.9504
67032 	 1 	 9997.778 	 2111.2855
69208 	 1 	 859.184 	 276.3937
69419 	 1 	 117.1615 	 46.0781
70798 	 2 	 273.3767 	 108.0974
70956 	 2 	 156.2153 	 66.2519
76379 	 13 	 8826.1634 	 2594.4647
76688 	 33 	 21909.1931 	 5623.4863
77091 	 13 	 4491.1893 	 1508.8454
78746 	 2 	 820.1302 	 330.6441
78800 	 22 	 33391.0162 	 7662.7413
79697 	 3 	 13317.3527 	 2105.3572
79743 	 15 	 44560.4088 	 8424.8819
80484 	 38 	 58971.2684 	 12908.0795
8555 	 2 	 43935.5477 	 6130.2454
8919 	 6 	 32063.1864 	 6275.9195
84324 	 1 	 39.0538 	 17.4092
86390 	 1 	 117.1615 	 48.8427
87405 	 1 	 195.2691 	 77.8428
88060 	 1 	 4100.6511 	 1141.3612
88898 	 3 	 3475.79 	 921.8097
89123 	 1 	 78.1076 	 33.1259
89246 	 3 	 1484.0452 	 546.9483
90147 	 3 	 24252.4223 	 3901.1265
90725 	 1 	 117.1615 	 48.8427
90932 	 3 	 859.184 	 311.5327
9821 	 1 	 585.8073 	 194.4304
9908 	 1 	 624.8611 	 217.6526
91479 	 4 	 1835.5295 	 607.7754
92792 	 1 	 39.0538 	 17.4092
93037 	 2 	 859.184 	 300.9649
93294 	 5 	 5858.073 	 1285.7951
93777 	 2 	 117.1615 	 49.0968
94382 	 5 	 4452.1355 	 1185.8506
95547 	 1 	 2616.606 	 708.277
96041 	 4 	 2655.6598 	 942.1558
98410 	 1 	 117.1615 	 46.0781
