MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
7 	 56 	 101802.419 	 22476.4054
10 	 5 	 42327.5612 	 7467.2066
25 	 522 	 677240.979 	 163087.758
31 	 2 	 1853.7618 	 570.1128
38 	 13 	 20314.1398 	 4793.6473
46 	 13 	 8303.3081 	 2215.8668
50 	 4 	 1931.0019 	 549.0357
124 	 3 	 1622.0416 	 554.9042
139 	 13 	 22669.9621 	 5526.9348
140 	 30 	 30548.4497 	 7510.776
144 	 3 	 3977.8639 	 815.993
155 	 1 	 19618.9791 	 2937.4993
218 	 21 	 203218.638 	 28542.8861
364 	 9 	 44528.9033 	 8634.2048
392 	 3 	 270.3403 	 112.1374
406 	 5 	 2819.2627 	 875.3261
468 	 1 	 4981.9848 	 1050.9687
538 	 1 	 1313.0813 	 313.8829
10247 	 2 	 6797.1266 	 1313.7179
10260 	 183 	 191323.666 	 43424.1434
10276 	 4 	 68473.3266 	 10491.1306
10331 	 1 	 154.4802 	 62.1054
10404 	 8 	 15061.8147 	 3232.0179
10408 	 1 	 9114.3289 	 1553.6796
10410 	 3 	 1506.1815 	 563.9061
10577 	 6 	 13903.2135 	 3483.8513
10587 	 6 	 85775.1035 	 10440.8692
10608 	 16 	 6604.0264 	 1969.5774
10656 	 2 	 39044.858 	 7155.5506
10678 	 5 	 1158.6011 	 419.2107
10722 	 7 	 67198.8654 	 10534.6053
10724 	 60 	 51094.3097 	 12068.6229
10742 	 1 	 3398.5633 	 630.8195
10804 	 6 	 3784.7637 	 1179.8892
10822 	 20 	 51287.4099 	 11535.0881
10850 	 193 	 1353748.18 	 214878.137
10886 	 6 	 5754.3856 	 1116.001
10961 	 89 	 171434.347 	 32741.0933
10965 	 3 	 12319.792 	 2424.5414
10974 	 519 	 309153.401 	 82353.1963
10977 	 1 	 36882.1359 	 4464.0167
11126 	 8 	 52677.7313 	 9149.9354
11148 	 8 	 132582.589 	 17362.8858
11186 	 12 	 36766.2758 	 8058.0592
11309 	 6 	 92070.1696 	 18292.6853
11366 	 2 	 9268.809 	 1567.1339
11384 	 5 	 4170.9641 	 1076.9752
11459 	 2 	 463.4405 	 168.025
11529 	 52 	 142507.939 	 29399.4652
11530 	 270 	 587835.592 	 119610.786
11532 	 27 	 73957.372 	 14437.7298
11533 	 1 	 13362.533 	 2587.1693
11555 	 2 	 15448.015 	 2963.8962
11560 	 2 	 4981.9848 	 1241.1722
11621 	 16 	 154789.111 	 21357.1168
11627 	 2 	 13517.0132 	 2569.0393
