MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
10 	 29 	 40264.4886 	 7903.9739
28 	 430 	 622010.194 	 133559.001
54 	 6 	 312.4306 	 136.6462
94 	 1 	 1562.1528 	 403.71
110 	 83 	 89745.6787 	 20007.788
119 	 22 	 61197.3362 	 9705.758
125 	 21 	 22924.5924 	 5663.0521
167 	 73 	 271541.212 	 50910.2363
190 	 5 	 13239.245 	 2663.3544
235 	 734 	 1733013.27 	 326211.974
248 	 128 	 284897.618 	 47020.5167
380 	 6 	 15777.7433 	 3184.9848
410 	 3 	 285366.264 	 33150.4726
419 	 11 	 8357.5175 	 2638.8116
510 	 264 	 432560.112 	 90181.0029
700 	 47 	 138445.792 	 27365.4784
703 	 48 	 89081.7638 	 20829.5042
731 	 3 	 3085.2518 	 691.6199
737 	 8 	 5975.2345 	 1234.1829
754 	 18 	 10466.4238 	 2798.2589
759 	 41 	 34328.3079 	 8770.4814
791 	 1 	 39.0538 	 17.4092
10359 	 3 	 4374.0279 	 1030.312
12748 	 2 	 312.4306 	 119.4091
13082 	 6 	 4139.7049 	 1000.8122
13123 	 3 	 156.2153 	 66.506
13131 	 1 	 13707.8909 	 1892.4352
13656 	 1 	 7888.8717 	 1541.2264
13794 	 39 	 26829.9745 	 7160.8566
13868 	 1 	 156.2153 	 57.3379
13926 	 7 	 4686.4584 	 1283.3875
14462 	 1 	 117.1615 	 50.3577
16107 	 6 	 937.2917 	 359.569
16606 	 25 	 27376.7279 	 6774.683
16651 	 1 	 1991.7448 	 472.025
2374 	 1 	 117.1615 	 50.3577
16741 	 11 	 2733.7674 	 905.8535
16766 	 1 	 1523.099 	 360.2781
17401 	 4 	 624.8611 	 226.6014
17778 	 2 	 3163.3594 	 627.5257
18386 	 9 	 9841.5627 	 2525.6181
20458 	 3 	 6248.6112 	 1568.2843
20637 	 3 	 6951.58 	 1727.7765
21702 	 3 	 3983.4897 	 903.0259
21721 	 5 	 273.3767 	 117.4074
24167 	 1 	 702.9688 	 213.2451
2702 	 5 	 3788.2206 	 1154.7935
2879 	 12 	 4334.974 	 1243.3635
25505 	 13 	 2304.1754 	 744.501
25522 	 4 	 507.6997 	 198.9224
25591 	 1 	 25892.6828 	 3592.8059
25776 	 2 	 1718.3681 	 559.0943
25972 	 1 	 156.2153 	 66.0494
26175 	 2 	 1562.1528 	 463.2025
26428 	 1 	 39.0538 	 17.4092
27420 	 3 	 312.4306 	 127.7375
27623 	 5 	 9490.0783 	 2286.8722
27931 	 2 	 4452.1355 	 1036.2561
28330 	 7 	 132665.827 	 17630.8033
28852 	 57 	 173125.585 	 32666.9218
29456 	 12 	 11364.6617 	 2606.0357
30068 	 1 	 39.0538 	 17.4092
30193 	 1 	 859.184 	 276.0753
