MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
26 	 4 	 2499.4445 	 677.8331
58 	 7 	 11559.9308 	 2132.3356
119 	 70 	 401941.917 	 56156.6377
173 	 2 	 35538.9763 	 6801.304
174 	 5 	 28040.6429 	 4570.9002
176 	 1 	 14957.6131 	 2190.852
197 	 3 	 11169.3926 	 2147.3185
231 	 187 	 1401446.34 	 213102.15
237 	 1 	 234.3229 	 93.2503
249 	 27 	 97946.981 	 15339.3778
10454 	 2 	 195.2691 	 81.2931
10649 	 1 	 28314.0196 	 3103.9665
10744 	 1 	 3046.198 	 639.9234
11051 	 1 	 39.0538 	 17.4092
1097 	 1 	 468.6458 	 153.0835
1186 	 2 	 3358.6285 	 789.3059
11263 	 7 	 4061.5973 	 1050.3567
11584 	 6 	 29719.9571 	 5357.7836
11650 	 1 	 195.2691 	 73.3088
12061 	 1 	 21440.5473 	 2642.5674
12090 	 9 	 9685.3474 	 2708.6069
12331 	 13 	 10661.6929 	 2283.0207
12333 	 6 	 5779.9654 	 1384.292
12557 	 2 	 468.6458 	 169.189
12560 	 1 	 78.1076 	 31.6876
12893 	 1 	 1327.8299 	 373.5201
12961 	 1 	 39.0538 	 17.4092
13315 	 7 	 18316.2417 	 3558.2491
13842 	 2 	 195.2691 	 82.3348
13867 	 1 	 10153.9932 	 1679.5467
13895 	 4 	 2499.4445 	 736.2571
14639 	 1 	 663.9149 	 185.8599
14734 	 7 	 2538.4983 	 796.7702
15415 	 8 	 78771.5553 	 11551.5108
15487 	 1 	 78.1076 	 31.6876
15690 	 1 	 7693.6026 	 1264.5299
15826 	 3 	 15933.9586 	 2747.5849
16256 	 19 	 142468.336 	 18007.0247
16543 	 7 	 2811.8751 	 760.2722
16710 	 1 	 7888.8717 	 1177.9236
1662 	 8 	 26947.1359 	 4357.9446
1788 	 1 	 820.1302 	 243.203
16915 	 1 	 312.4306 	 109.7326
17004 	 1 	 3358.6285 	 618.4087
17350 	 7 	 3553.8976 	 1168.2463
17667 	 2 	 2187.0139 	 537.521
18095 	 6 	 27454.8356 	 4540.9369
18422 	 5 	 1054.4531 	 386.2751
18542 	 1 	 742.0226 	 250.1754
18841 	 2 	 1952.691 	 630.9732
18878 	 3 	 1562.1528 	 526.6436
19208 	 6 	 5897.1268 	 1439.2841
2119 	 2 	 234.3229 	 87.6993
19499 	 1 	 859.184 	 247.4534
19641 	 1 	 2889.9827 	 599.0968
19778 	 2 	 27415.7818 	 4484.5691
19852 	 2 	 4998.889 	 1079.8876
19965 	 3 	 507.6997 	 184.8509
20118 	 2 	 468.6458 	 158.919
20510 	 2 	 390.5382 	 147.6295
20568 	 14 	 20425.1479 	 4656.8788
20641 	 1 	 585.8073 	 204.5413
21068 	 4 	 7849.8179 	 1314.6379
21069 	 1 	 702.9688 	 203.3514
21368 	 2 	 49364.0287 	 6593.2918
21498 	 3 	 2616.606 	 669.7909
21716 	 1 	 429.592 	 142.3499
21967 	 1 	 6717.2571 	 1123.1547
21983 	 1 	 2616.606 	 599.8649
2270 	 9 	 35109.3843 	 6642.0979
22243 	 15 	 49754.5669 	 10137.1098
22926 	 57 	 127627.884 	 25186.2224
23164 	 1 	 507.6997 	 167.3845
24724 	 1 	 273.3767 	 96.6681
24781 	 2 	 1991.7448 	 599.835
2478 	 3 	 110795.688 	 12785.4983
25112 	 14 	 6756.3109 	 1935.7715
25820 	 1 	 6209.5574 	 1042.987
26117 	 5 	 6131.4498 	 1495.0345
26129 	 1 	 585.8073 	 192.4713
26824 	 68 	 52605.4958 	 13494.8722
26841 	 13 	 14684.2364 	 3003.4327
276 	 4 	 1484.0452 	 483.4524
279 	 5 	 16246.3892 	 4052.941
331 	 1 	 156.2153 	 66.4407
342 	 1 	 8865.2172 	 1216.1061
347 	 1 	 6287.665 	 1100.5103
358 	 2 	 507.6997 	 175.3688
372 	 1 	 39.0538 	 17.4092
411 	 1 	 39.0538 	 17.4092
3176 	 1 	 195.2691 	 80.4755
4027 	 1 	 3241.4671 	 881.4258
4033 	 8 	 26439.4363 	 5157.1601
4429 	 10 	 63696.7807 	 9690.9962
4763 	 1 	 468.6458 	 167.9159
5285 	 1 	 7732.6564 	 1831.5543
5511 	 1 	 7654.5488 	 1287.2515
756 	 1 	 10427.37 	 2005.5605
6351 	 56 	 38507.0667 	 8587.3465
6437 	 9 	 11325.6078 	 3132.7695
6560 	 1 	 6287.665 	 1021.9026
6574 	 1 	 5623.7501 	 1138.0347
6615 	 8 	 3592.9515 	 1117.7846
6801 	 1 	 10505.4776 	 1586.3654
7047 	 2 	 78.1076 	 34.8184
7062 	 6 	 9568.1859 	 2306.7784
7281 	 5 	 53503.7336 	 9153.4386
7363 	 2 	 117.1615 	 50.9014
7502 	 12 	 62095.5741 	 11286.2201
7748 	 7 	 4295.9202 	 1294.2555
7887 	 1 	 32844.2628 	 3119.7812
7950 	 29 	 6326.7189 	 2128.4239
7973 	 10 	 1523.099 	 582.8568
8089 	 1 	 5467.5348 	 897.1137
8231 	 24 	 13903.16 	 4061.0276
8362 	 1 	 3827.2744 	 1072.8984
8432 	 2 	 21518.6549 	 2850.2108
925 	 35 	 360349.599 	 44614.7799
8553 	 2 	 3944.4358 	 820.1265
8789 	 2 	 25033.4987 	 4151.7868
9064 	 1 	 4647.4046 	 776.7989
9098 	 4 	 19644.0715 	 4221.056
9204 	 1 	 19058.2642 	 2631.9104
9591 	 1 	 663.9149 	 227.095
9935 	 3 	 195.2691 	 80.7845
10125 	 2 	 2577.5521 	 650.5535
