MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
16 	 139 	 213162.847 	 41484.2723
160 	 2 	 1900.8152 	 505.4582
198 	 7 	 10420.5404 	 2055.7348
303 	 33 	 18838.4363 	 5658.4131
2022 	 1 	 3869.5166 	 750.0766
2630 	 12 	 174874.998 	 22896.2366
5063 	 2 	 8893.0997 	 2157.2922
6339 	 3 	 1900.8152 	 436.0814
6895 	 403 	 1424525.22 	 232007.104
7032 	 1 	 1595.327 	 514.8216
7943 	 1 	 2104.474 	 618.7907
8991 	 12 	 8757.3272 	 2632.1843
19379 	 1 	 4921.7536 	 950.3409
19837 	 2 	 1595.327 	 413.7136
22077 	 1 	 33.9431 	 15.8097
22339 	 6 	 712.8057 	 284.6871
22775 	 1 	 18634.7775 	 2919.8773
23432 	 16 	 137469.67 	 20159.8414
24741 	 1 	 101.8294 	 42.009
25884 	 1 	 1968.7015 	 538.0064
26273 	 1 	 33.9431 	 15.8097
26695 	 1 	 33.9431 	 15.8097
32231 	 25 	 169647.756 	 35128.521
33336 	 6 	 2002.6446 	 684.2409
36523 	 1 	 6584.9669 	 1224.152
36595 	 3 	 169.7156 	 75.5918
38223 	 1 	 1323.782 	 443.1311
38653 	 1 	 305.4882 	 104.8231
38953 	 3 	 6483.1375 	 1519.2094
39814 	 2 	 6415.2513 	 1686.2896
39926 	 13 	 3597.9716 	 1156.2362
41683 	 109 	 1015782.06 	 125506.055
43004 	 2 	 475.2038 	 172.3414
46456 	 10 	 5838.2181 	 1802.4667
46699 	 1 	 33.9431 	 15.8097
47616 	 2 	 30956.1332 	 4831.7149
49119 	 2 	 169.7156 	 72.3601
52761 	 1 	 2002.6446 	 461.342
53750 	 1 	 9300.4172 	 2064.8228
57385 	 3 	 4514.4361 	 1120.2888
58003 	 43 	 12389.2419 	 3893.5287
58319 	 8 	 163198.562 	 20368.8231
59257 	 1 	 1663.2133 	 356.9433
62126 	 1 	 3835.5735 	 699.3434
62737 	 1 	 135.7725 	 57.871
63470 	 1 	 18193.5169 	 2287.3289
65699 	 2 	 203.6588 	 85.2093
68579 	 1 	 407.3175 	 150.7543
68737 	 3 	 577.0332 	 229.4726
70481 	 1 	 33.9431 	 15.8097
71449 	 3 	 1459.5545 	 474.9704
72457 	 1 	 1595.327 	 506.0137
75990 	 1 	 103899.916 	 10231.5661
76129 	 1 	 101.8294 	 43.2718
77719 	 1 	 141067.642 	 11315.8566
78154 	 2 	 848.5782 	 309.766
78665 	 2 	 305.4882 	 112.4562
79180 	 1 	 49896.3989 	 5231.3463
79438 	 3 	 407.3175 	 164.329
80118 	 1 	 67.8863 	 30.4335
80798 	 1 	 11235.1755 	 1990.8667
83862 	 1 	 407.3175 	 134.8615
84661 	 3 	 8383.9527 	 1280.4126
85412 	 1 	 2443.9053 	 528.7051
85450 	 1 	 2138.4171 	 503.4792
85790 	 2 	 1120.1232 	 285.2992
86955 	 1 	 8519.7253 	 1619.0644
88334 	 1 	 135.7725 	 55.4201
88850 	 6 	 814.6351 	 320.8108
89880 	 1 	 33.9431 	 15.8097
90077 	 1 	 6958.3413 	 1738.8158
90391 	 1 	 339.4313 	 117.3862
9822 	 2 	 135.7725 	 59.7258
10513 	 1 	 11438.8343 	 1475.5655
11317 	 135 	 86928.3521 	 21401.7512
11627 	 1 	 5838.2181 	 974.5679
12106 	 1 	 33.9431 	 15.8097
12429 	 1 	 271.545 	 97.7368
14012 	 1 	 509.1469 	 167.4382
15682 	 298 	 503478.425 	 101213.957
15784 	 2 	 18431.1188 	 3078.5762
15816 	 2 	 441.2607 	 162.7696
16378 	 1 	 305.4882 	 124.753
