MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
74 	 117 	 117083.353 	 29489.6535
98 	 41 	 188981.436 	 35102.1898
137 	 56 	 64712.18 	 15585.0473
152 	 1 	 78.1076 	 33.1259
156 	 172 	 179178.927 	 44562.3267
169 	 8 	 125401.817 	 13109.126
178 	 3 	 4178.7588 	 1190.3543
190 	 12 	 31477.3791 	 6314.7887
192 	 118 	 79982.2237 	 22227.8981
243 	 6 	 235025.89 	 23348.3189
255 	 120 	 203197.026 	 38910.4823
321 	 41 	 72561.9979 	 14806.5669
322 	 107 	 183123.363 	 33427.7114
395 	 1 	 1054.4531 	 345.983
438 	 6 	 507.6997 	 212.4403
443 	 76 	 109819.342 	 25266.0241
449 	 4 	 130400.706 	 10869.5199
11400 	 1 	 156.2153 	 59.9302
11673 	 12 	 12380.061 	 3045.014
12637 	 1 	 117.1615 	 48.2792
13945 	 2 	 312.4306 	 119.2364
14423 	 1 	 39.0538 	 17.4092
15889 	 1 	 4959.8352 	 901.1218
16516 	 6 	 2694.7136 	 783.3917
1717 	 6 	 1366.8837 	 495.941
1750 	 1 	 78.1076 	 33.4922
2242 	 1 	 312.4306 	 120.8725
17543 	 1 	 6326.7189 	 1071.9316
18120 	 2 	 117.1615 	 50.5351
18176 	 1 	 1249.7222 	 373.2663
19558 	 8 	 3710.1129 	 1164.0465
19608 	 5 	 1366.8837 	 501.8507
20631 	 208 	 485204.662 	 89056.1221
21327 	 1 	 312.4306 	 127.2861
21471 	 2 	 312.4306 	 118.4572
23362 	 1 	 1288.7761 	 345.6916
23484 	 1 	 937.2917 	 247.3906
23485 	 4 	 390.5382 	 155.4767
23651 	 1 	 7615.4949 	 1472.1173
24038 	 2 	 2616.606 	 631.9193
2780 	 9 	 1327.8299 	 514.0215
26708 	 1 	 39.0538 	 17.4092
28136 	 4 	 8552.7866 	 2032.2808
28137 	 3 	 4608.3508 	 1059.7057
28293 	 1 	 234.3229 	 92.1015
28989 	 35 	 117512.945 	 24143.2326
30511 	 5 	 3710.1129 	 1220.9881
31433 	 1 	 5311.3195 	 1012.4291
32148 	 1 	 117.1615 	 47.2322
32512 	 7 	 1015.3993 	 370.2027
32524 	 1 	 1288.7761 	 390.7552
32814 	 1 	 429.592 	 148.9254
32885 	 4 	 9177.6477 	 2146.2279
33079 	 2 	 9060.4863 	 1980.7241
33167 	 2 	 78.1076 	 34.8184
33327 	 29 	 91620.2621 	 19445.7048
3515 	 12 	 56823.3083 	 9005.0664
35677 	 4 	 10232.1009 	 2588.538
36227 	 249 	 412525.502 	 86445.5995
36234 	 2 	 1991.7448 	 617.6886
36289 	 1 	 1366.8837 	 337.0793
36514 	 3 	 20073.6636 	 3600.8646
37216 	 1 	 195.2691 	 76.8361
38523 	 6 	 39795.8427 	 7670.9247
38773 	 91 	 171094.786 	 35267.6933
38791 	 2 	 195.2691 	 77.6537
39462 	 2 	 78.1076 	 34.8184
39475 	 6 	 1054.4531 	 412.5869
39644 	 5 	 5311.3195 	 1530.6105
40873 	 2 	 1210.6684 	 393.4978
41491 	 1 	 39.0538 	 17.4092
41548 	 1 	 234.3229 	 89.7883
42493 	 1 	 976.3455 	 316.2498
43074 	 56 	 145631.695 	 26244.4004
43275 	 6 	 820.1302 	 302.8771
43327 	 1 	 1171.6146 	 310.9694
43505 	 1 	 2304.1754 	 571.6436
43509 	 2 	 2655.6598 	 728.208
45785 	 8 	 1757.4219 	 641.9673
46228 	 2 	 937.2917 	 261.8737
46568 	 1 	 117.1615 	 48.2792
47458 	 1 	 1132.5608 	 312.6697
47931 	 2 	 1015.3993 	 343.7477
48332 	 3 	 351.4844 	 140.039
48716 	 2 	 2069.8525 	 601.0761
49120 	 2 	 898.2379 	 301.0495
49293 	 2 	 898.2379 	 284.5027
49451 	 1 	 234.3229 	 93.9258
49517 	 1 	 234.3229 	 86.8466
50015 	 1 	 39.0538 	 17.4092
50173 	 6 	 4413.0817 	 912.0045
5027 	 3 	 16285.443 	 3605.673
5352 	 5 	 3124.3056 	 934.1189
50996 	 6 	 7927.9255 	 1941.4557
51509 	 1 	 859.184 	 326.1065
51517 	 2 	 17886.6496 	 2749.8189
52247 	 1 	 1093.507 	 345.5731
52434 	 3 	 17457.0576 	 3020.9316
52500 	 3 	 117.1615 	 52.2276
53056 	 6 	 25736.4675 	 5970.4772
53676 	 4 	 3163.3594 	 776.8813
53950 	 1 	 39.0538 	 17.4092
56191 	 5 	 312.4306 	 129.8813
56587 	 5 	 234.3229 	 102.7627
56699 	 1 	 2694.7136 	 806.2263
56700 	 5 	 5350.3734 	 1210.942
57164 	 2 	 1093.507 	 357.6471
58148 	 18 	 11169.3926 	 2840.9893
6293 	 2 	 10193.0471 	 1912.2128
6534 	 11 	 35265.5996 	 7168.9317
60503 	 1 	 6756.3109 	 1390.4185
61558 	 41 	 42412.4487 	 10647.3592
61989 	 2 	 78.1076 	 34.8184
62399 	 1 	 3436.7362 	 925.5615
6991 	 2 	 546.7535 	 196.899
71316 	 6 	 5076.9966 	 1205.937
8206 	 4 	 8435.6252 	 2161.6
10023 	 1 	 156.2153 	 62.5524
10423 	 3 	 390.5382 	 153.2156
10588 	 71 	 41787.5876 	 9799.4384
