MET_ID	1	10	11	100	101	110	111	Volume corrected	min_dist	max_dist	mean_dist	Nearest Vessel Thickness	Vessel Volume	Clone1	Clone2	Clone3	Clone4	Clone5	Clone6	Clone7	Volume	Box.X.Min	Box.X.Max	Box.Y.Min	Box.Y.Max	Box.Z.Min	Box.Z.Max	MetNum_that_touches	number_of_touchPoints	total_touching_volume	total_touching_surface_area/2	centroid_x	centroid_y	centroid_z
2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	12947.115312	228.466387	279.5106424	255.9446866	14.206069	0.0	1	0	0	0	0	0	0	331	854	867	169	182	0	5					860.5	175.5	2.5
3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	29258.133696	251.4745673	291.1233635	271.6183333	14.801879	39.0538	1	0	0	0	0	0	0	748	1200	1215	190	198	0	13					1207.5	194.0	6.5
7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	53626.873392	42.55434643	83.82486982	59.97160279	22.14747	663.9149	1	0	0	0	0	0	0	1371	1345	1362	252	264	0	18					1353.5	258.0	9.0
8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	22804.133616000003	12.96385745	56.93043474	34.25255519	15.724823	0.0	1	0	0	0	0	0	0	583	1270	1280	257	267	0	14					1275.0	262.0	7.0
10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	169094.80206000002	52.49626272	122.7359654	83.93220172	14.284379	468.6458	1	0	0	0	0	0	0	4323	1188	1208	301	332	0	31					1198.0	316.5	15.5
17	1.0	0.0	0.0	0.0	0.0	0.0	0.0	24486.085152	32.88637408	79.56632956	56.52076787	25.70748	0.0	1	0	0	0	0	0	0	626	1357	1368	362	373	0	13					1362.5	367.5	6.5
19	0.0	0.0	0.0	1.0	0.0	0.0	0.0	62153.976528	2.92	58.96418235	31.39085105	15.622584	4998.889	0	0	0	1	0	0	0	1589	881	903	400	418	0	16					892.0	409.0	8.0
22	1.0	0.0	0.0	0.0	0.0	0.0	0.0	478925.92107	2.92	132.3136183	70.37995903	13.5254135	1718.3681	1	0	0	0	0	0	0	12244	1257	1286	461	484	0	42					1271.5	472.5	21.0
26	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1249455.3003000002	0.0	134.5472958	84.91135443	21.051928	10544.5314	0	1	0	0	0	0	0	31943	1318	1357	474	517	0	48	26.0	4.0	2499.4445	677.8331	1337.5	495.5	24.0
27	1.0	0.0	0.0	0.0	0.0	0.0	0.0	16545.709296	213.2473353	239.8550938	226.2004301	22.383636	0.0	1	0	0	0	0	0	0	423	1608	1618	486	494	0	10					1613.0	490.0	5.0
