MET_ID	1	10	11	100	101	110	111	Volume corrected	min_dist	max_dist	mean_dist	Nearest Vessel Thickness	Vessel Volume	Clone1	Clone2	Clone3	Clone4	Clone5	Clone6	Clone7	Volume	Box.X.Min	Box.X.Max	Box.Y.Min	Box.Y.Max	Box.Z.Min	Box.Z.Max	MetNum_that_touches	number_of_touchPoints	total_touching_volume	total_touching_surface_area/2	centroid_x	centroid_y	centroid_z
82	0.818574514	0.0	0.0	0.181425486	0.0	0.0	0.0	18110.315376000002	288.2710898	324.0890773	308.504522	12.189294	0.0	1	0	0	1	0	0	0	463	2024	2036	1041	1049	0	12					2030.0	1045.0	6.0
191	0.0	0.0	0.0	0.598971722	0.0	0.401028278	0.0	30431.588256000003	135.1193339	172.4693608	150.6356755	11.18327	0.0	0	0	0	1	0	1	0	778	908	928	2179	2206	0	5					918.0	2192.5	2.5
213	0.000240498	0.0	0.0	0.999759502	0.0	0.0	0.0	4228699.968	0.0	281.3429864	111.3625378	20.821522	175937.46	1	0	0	1	0	0	0	108109	2012	2115	2504	2604	0	58	213.0	7.0	9411.9707	1822.0151	2063.5	2554.0	29.0
282	0.0	0.999905643	0.0	9.44e-05	0.0	0.0	0.0	1243627.1424	8.689326786	152.2275678	77.61920663	18.258497	322076.855	0	1	0	1	0	0	0	31794	1260	1344	3051	3134	0	58					1302.0	3092.5	29.0
10379	0.002542373	0.0	0.0	0.997457627	0.0	0.0	0.0	230779.39680000002	4.682093549	86.34475317	47.98560041	15.351809	2147.9601	1	0	0	1	0	0	0	5900	1552	1575	1496	1517	86	118					1563.5	1506.5	102.0
1166	0.183791606	0.81186686	0.0	0.004341534	0.0	0.0	0.0	54057.14006400001	265.8736813	360.5528605	309.6007817	21.734215	0.0	1	1	0	1	0	0	0	1382	1083	1103	340	367	6	24					1093.0	353.5	15.0
1425	0.000253357	0.0	0.0	0.999746643	0.0	0.0	0.0	2624587.5842999998	0.0	138.3083873	43.77023225	20.371218	1053633.01	1	0	0	1	0	0	0	67099	1765	1846	2437	2539	7	102	1425.0	12.0	95135.1059	15113.2168	1805.5	2488.0	54.5
1616	0.098554534	0.901445466	0.0	0.0	0.0	0.0	0.0	29766.630672	53.50820872	91.12929057	72.67522683	26.823076	0.0	1	1	0	0	0	0	0	761	1328	1340	3191	3202	8	22					1334.0	3196.5	15.0
11886	0.038262668	0.961737332	0.0	0.0	0.0	0.0	0.0	37824.351984	26.82969251	90.2194325	54.97880253	37.927162	0.0	1	1	0	0	0	0	0	967	1384	1398	2121	2135	102	124					1391.0	2128.0	113.0
13172	0.003014123	0.0	0.0	0.911212539	0.0	0.085773338	0.0	454909.21775999997	37.66648378	125.3584955	86.36806842	29.314455	6756.3109	1	0	0	1	0	1	0	11630	652	688	2978	3022	115	174					670.0	3000.0	144.5
13474	0.003427592	0.0	0.0	0.996572408	0.0	0.0	0.0	136942.14717	66.85253324	156.2774622	107.990507	32.924862	0.0	1	0	0	1	0	0	0	3501	1346	1371	1934	1963	118	148					1358.5	1948.5	133.0
13927	0.109811566	0.271604938	0.618258609	0.000324886	0.0	0.0	0.0	120396.43782	4.682093549	104.6562105	50.12628885	78.13388	12184.7919	1	1	1	1	0	0	0	3078	1535	1565	1328	1347	123	144					1550.0	1337.5	133.5
