MetNum_that_touches 	 number_of_touchPoints 	 total_touching_volume 	 total_touching_surface_area/2
33 	 2 	 21910 	 3905.0151
85 	 11 	 72174.1177 	 9317.2531
172 	 4 	 1054.492 	 316.6534
305 	 5 	 8435.9358 	 1921.3331
722 	 7 	 33860.9091 	 6701.3752
727 	 1 	 468.6631 	 133.454
761 	 1 	 117.1658 	 39.682
14660 	 1 	 468.6631 	 145.7432
15834 	 1 	 468.6631 	 144.7156
17887 	 6 	 2460.4813 	 775.6487
18234 	 3 	 21324.1711 	 2563.5435
18350 	 2 	 234.3316 	 79.3639
19743 	 3 	 4569.4652 	 1087.8945
19897 	 3 	 2343.3155 	 553.9638
19933 	 1 	 5038.1283 	 1037.8178
20195 	 2 	 10662.0856 	 1803.2287
20437 	 5 	 2929.1444 	 879.0928
22003 	 13 	 1073941.5 	 48410.5505
23737 	 2 	 234.3316 	 79.3639
2451 	 32 	 52021.6043 	 11590.2223
2545 	 2 	 1874.6524 	 398.7759
24223 	 1 	 234.3316 	 70.8883
26283 	 2 	 15700.2139 	 2111.4433
27000 	 1 	 117.1658 	 39.682
28292 	 1 	 702.9947 	 205.4423
28780 	 7 	 2811.9786 	 786.2461
28781 	 4 	 19683.8503 	 3172.4466
29108 	 1 	 36321.3904 	 7405.7303
29141 	 1 	 585.8289 	 170.3129
30109 	 4 	 3983.6364 	 1091.9795
30706 	 4 	 2108.984 	 579.4498
31253 	 2 	 7029.9465 	 1233.3591
31708 	 1 	 117.1658 	 39.682
3363 	 4 	 558880.749 	 30453.1002
3364 	 6 	 59051.5508 	 9286.3074
32057 	 1 	 7967.2727 	 1971.0819
32437 	 1 	 117.1658 	 39.682
33784 	 13 	 33275.0802 	 6935.7641
34452 	 6 	 4100.8021 	 1209.3373
35817 	 3 	 15583.0481 	 3134.1725
37611 	 3 	 18043.5294 	 3125.3641
38333 	 4 	 11013.5829 	 2523.7271
39182 	 1 	 3280.6417 	 646.3643
4554 	 3 	 1991.8182 	 608.9674
41057 	 2 	 2226.1497 	 580.224
42717 	 1 	 49443.9572 	 5880.4114
43236 	 2 	 17457.7005 	 2239.9475
43321 	 5 	 22847.3262 	 4167.2324
43668 	 3 	 5272.4599 	 1245.5807
44909 	 2 	 1757.4866 	 508.1963
45155 	 3 	 1405.9893 	 414.3
46496 	 5 	 30931.7647 	 5974.6128
46536 	 1 	 234.3316 	 77.678
47212 	 1 	 9021.7647 	 1826.5542
5154 	 19 	 28939.9465 	 5982.293
5234 	 1 	 4803.7968 	 916.9288
49474 	 1 	 2343.3155 	 537.6991
49593 	 2 	 937.3262 	 287.0958
49928 	 2 	 36438.5562 	 3574.747
49983 	 5 	 39016.2032 	 5358.7664
50717 	 6 	 20855.508 	 4510.2748
51348 	 4 	 1874.6524 	 539.3896
51991 	 2 	 5272.4599 	 1068.5391
52752 	 2 	 937.3262 	 262.4537
52857 	 1 	 27768.2888 	 3892.983
52896 	 7 	 2577.6471 	 665.578
53608 	 3 	 2108.984 	 637.8741
53815 	 7 	 9138.9305 	 2129.5501
54019 	 3 	 351.4973 	 119.0459
55001 	 4 	 702.9947 	 235.3235
56461 	 2 	 10779.2513 	 1729.709
56849 	 1 	 468.6631 	 147.8531
57234 	 1 	 9138.9305 	 1901.2314
60886 	 1 	 351.4973 	 108.8843
64100 	 1 	 7264.2781 	 1372.9361
65053 	 1 	 11247.9144 	 1853.0724
65638 	 1 	 7732.9412 	 1437.0744
66202 	 1 	 1991.8182 	 542.3256
66470 	 9 	 10662.0856 	 2568.2436
67421 	 1 	 53076.0963 	 6128.4984
67547 	 1 	 2694.8128 	 593.137
67659 	 1 	 10193.4225 	 1318.9474
67813 	 13 	 4452.2995 	 1316.3737
67939 	 1 	 1523.1551 	 421.5509
69594 	 1 	 234.3316 	 78.2816
70274 	 1 	 6795.615 	 1323.5577
7564 	 3 	 1405.9893 	 430.9186
71132 	 1 	 9841.9251 	 1446.4035
71345 	 2 	 4920.9626 	 1242.8427
72699 	 100 	 530057.968 	 76078.6032
72772 	 2 	 13122.5668 	 2593.3733
73449 	 7 	 4803.7968 	 1481.0983
73642 	 3 	 2343.3155 	 665.0473
74016 	 2 	 17106.2032 	 2253.6232
74103 	 1 	 234.3316 	 70.8883
74252 	 2 	 5506.7914 	 1094.6569
75431 	 9 	 17809.1979 	 3801.3212
75608 	 1 	 31634.7594 	 3576.3616
75748 	 2 	 234.3316 	 79.3639
75802 	 2 	 2343.3155 	 574.1587
75804 	 3 	 3514.9733 	 868.4744
779 	 1 	 117.1658 	 39.682
8742 	 4 	 2343.3155 	 559.8889
9461 	 1 	 820.1604 	 239.723
