MET_ID	1	10	11	100	101	110	111	Volume corrected	min_dist	max_dist	mean_dist	Nearest Vessel Thickness	Vessel Volume	Clone1	Clone2	Clone3	Clone4	Clone5	Clone6	Clone7	Volume	Box.X.Min	Box.X.Max	Box.Y.Min	Box.Y.Max	Box.Z.Min	Box.Z.Max	centroid_x	centroid_y	centroid_z
6627	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1512305.8668	8.68608773	139.1853766	84.24213426	19.290606	138758.223	1	0	0	0	0	0	0	38735	663	720	674	767	71	154	691.5	720.5	112.5
6668	1.0	0.0	0.0	0.0	0.0	0.0	0.0	65044.574019	58.55918055	109.0321152	82.62266991	13.129966	0.0	1	0	0	0	0	0	0	1666	1334	1352	1807	1820	71	90	1343.0	1813.5	80.5
6740	1.0	0.0	0.0	0.0	0.0	0.0	0.0	34162.066188	66.22266521	97.20852097	81.91524136	14.721731	0.0	1	0	0	0	0	0	0	875	711	721	1353	1366	72	92	716.0	1359.5	82.0
6781	0.0	1.0	0.0	0.0	0.0	0.0	0.0	10151.013951	210.440556	234.5221171	222.939784	11.467073	0.0	0	1	0	0	0	0	0	260	1033	1044	1844	1853	72	83	1038.5	1848.5	77.5
6836	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15460.7751	93.47405315	126.2216192	111.4674216	14.686588	0.0	1	0	0	0	0	0	0	396	1151	1158	1234	1244	73	89	1154.5	1239.0	81.0
6847	1.0	0.0	0.0	0.0	0.0	0.0	0.0	255688.42455	0.0	52.73621234	16.96741684	16.572525	35304.6534	1	0	0	0	0	0	0	6549	1427	1454	1509	1532	73	108	1440.5	1520.5	90.5
6849	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2837442.654	0.0	123.4398019	68.91415187	32.50468	296223.226	0	1	0	0	0	0	0	72676	647	721	1552	1614	73	164	684.0	1583.0	118.5
6892	0.0	1.0	0.0	0.0	0.0	0.0	0.0	12688.767441	76.92432633	109.1675715	96.14344244	15.2126875	0.0	0	1	0	0	0	0	0	325	1114	1125	1953	1966	73	82	1119.5	1959.5	77.5
6901	1.0	0.0	0.0	0.0	0.0	0.0	0.0	53527.077414	51.1556194	92.64600002	72.01221093	19.45662	0.0	1	0	0	0	0	0	0	1371	915	926	2101	2114	73	93	920.5	2107.5	83.0
6989	1.0	0.0	0.0	0.0	0.0	0.0	0.0	246747.72375	47.65759353	108.1537945	82.25819126	19.143614	585.8073	1	0	0	0	0	0	0	6320	905	932	1045	1074	75	105	918.5	1059.5	90.0
667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	98621.00477999999	68.27127364	112.0987431	91.99173097	14.08381	3085.2518	1	0	0	0	0	0	0	2526	525	547	1364	1381	4	30	536.0	1372.5	17.0
681	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10424.31048	59.18644608	99.72671701	80.38090165	17.435966	0.0	0	0	0	1	0	0	0	267	1003	1019	1579	1590	4	17	1011.0	1584.5	10.5
762	0.0	1.0	0.0	0.0	0.0	0.0	0.0	11946.962574000001	9.35779222	46.26450876	22.25739158	21.497995	429.592	0	1	0	0	0	0	0	306	770	776	730	743	5	24	773.0	736.5	14.5
843	1.0	0.0	0.0	0.0	0.0	0.0	0.0	17608.104972	53.49861911	109.4933696	83.6966442	19.953583	0.0	1	0	0	0	0	0	0	451	750	758	2417	2425	5	25	754.0	2421.0	15.0
850	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10970.903538	22.89825905	45.57911532	34.70399573	20.425018	0.0	1	0	0	0	0	0	0	281	1109	1118	261	269	6	16	1113.5	265.0	11.0
871	1.0	0.0	0.0	0.0	0.0	0.0	0.0	394054.55316	54.32762374	150.3552245	102.9150786	12.388619	39.0538	1	0	0	0	0	0	0	10093	953	982	1079	1111	6	39	967.5	1095.0	22.5
872	0.0	0.0	0.0	1.0	0.0	0.0	0.0	124271.83619999999	64.79162638	145.5183484	102.4171385	15.005757	78.1076	0	0	0	1	0	0	0	3183	1102	1121	1095	1110	6	34	1111.5	1102.5	20.0
873	1.0	0.0	0.0	0.0	0.0	0.0	0.0	175963.92264	94.91428455	154.9948653	124.7769956	17.514877	0.0	1	0	0	0	0	0	0	4507	1052	1078	1113	1135	6	39	1065.0	1124.0	22.5
879	0.0	0.0	0.0	1.0	0.0	0.0	0.0	16124.495238	10.75244895	50.59110806	31.81382845	13.929726	0.0	0	0	0	1	0	0	0	413	473	483	1281	1292	6	14	478.0	1286.5	10.0
880	1.0	0.0	0.0	0.0	0.0	0.0	0.0	359072.59734000004	0.0	80.27636341	41.26084382	26.794834	115989.846	1	0	0	0	0	0	0	9197	551	576	1310	1342	6	54	563.5	1326.0	30.0
903	0.0	1.0	0.0	0.0	0.0	0.0	0.0	10580.479929000001	65.73313141	95.14794495	78.60130213	70.74201	0.0	0	1	0	0	0	0	0	271	534	544	1672	1679	6	16	539.0	1675.5	11.0
945	1.0	0.0	0.0	0.0	0.0	0.0	0.0	36504.607869	127.0522077	177.3229877	155.0698832	17.506645	39.0538	1	0	0	0	0	0	0	935	955	967	560	577	7	28	961.0	568.5	17.5
7052	1.0	0.0	0.0	0.0	0.0	0.0	0.0	32366.117565	47.89481479	84.67012304	67.23811617	12.3746605	78.1076	1	0	0	0	0	0	0	829	786	798	652	667	76	92	792.0	659.5	84.0
7066	0.0	0.0	0.0	1.0	0.0	0.0	0.0	34240.150908	31.59147268	69.50968527	50.50911132	12.9057255	0.0	0	0	0	1	0	0	0	877	723	733	1298	1308	76	93	728.0	1303.0	84.5
7085	1.0	0.0	0.0	0.0	0.0	0.0	0.0	217465.95276000001	32.34967955	98.5789271	71.92276667	14.915197	390.5382	1	0	0	0	0	0	0	5570	442	462	1557	1591	76	114	452.0	1574.0	95.0
7092	0.0	1.0	0.0	0.0	0.0	0.0	0.0	23893.925148000002	50.10967565	85.55690173	68.33548859	100.80316	117.1615	0	1	0	0	0	0	0	612	438	448	1641	1654	76	92	443.0	1647.5	84.0
7132	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13625.784117	15.79573634	44.66500765	30.94901713	15.633875	0.0	1	0	0	0	0	0	0	349	867	878	2234	2244	76	89	872.5	2239.0	82.5
7142	1.0	0.0	0.0	0.0	0.0	0.0	0.0	11790.793125	158.2646406	188.4126459	170.0228663	15.620981	0.0	1	0	0	0	0	0	0	302	691	701	2486	2499	76	87	696.0	2492.5	81.5
7143	0.0	1.0	0.0	0.0	0.0	0.0	0.0	14758.012593	101.3552767	130.0357454	115.6630409	16.475788	0.0	0	1	0	0	0	0	0	378	1043	1051	337	345	77	87	1047.0	341.0	82.0
7149	1.0	0.0	0.0	0.0	0.0	0.0	0.0	97762.07286	29.24140115	89.11009317	61.83901008	28.335716	0.0	1	0	0	0	0	0	0	2504	730	748	700	716	77	100	739.0	708.0	88.5
